State,Market,Cost,,
PA,reading,$15.00,,
PA,scranton / wilkes-barre,$15.00,,
PA,state college,$10.00,,
PA,williamsport,$7.00,,
PA,york,$15.00,,
RI,rhode island,$25.00,,
SC,charleston,$25.00,,
SC,columbia,$15.00,,
SC,florence,$7.00,,
SC,greenville / upstate,$25.00,,
SC,hilton head,$7.00,,
SC,myrtle beach,$15.00,,
SD,northeast SD,$7.00,,
SD,pierre / central SD,$7.00,,
SD,rapid city / west SD,$7.00,,
SD,sioux falls / SE SD,$10.00,,
SD,south dakota,$7.00,,
TN,chattanooga,$15.00,,
TN,clarksville,$10.00,,
TN,cookeville,$7.00,,
TN,jackson,$10.00,,
TN,knoxville,$25.00,,
TN,memphis,$25.00,,
TN,nashville,$25.00,,
TN,tri-cities,$10.00,,
TX,abilene,$10.00,,
TX,amarillo,$10.00,,
TX,austin,$35.00,,
TX,beaumont / port arthur,$7.00,,
TX,brownsville,$7.00,,
TX,college station,$10.00,,
TX,corpus christi,$15.00,,
TX,dallas / fort worth,$45.00,,
TX,deep east texas,$7.00,,
TX,del rio / eagle pass,$7.00,,
TX,el paso,$15.00,,
TX,galveston,$7.00,,
TX,houston,$35.00,,
TX,killeen / temple / ft hood,$10.00,,
TX,laredo,$7.00,,
TX,lubbock,$10.00,,
TX,mcallen / edinburg,$15.00,,
TX,odessa / midland,$10.00,,
TX,san angelo,$7.00,,
TX,san antonio,$35.00,,
TX,san marcos,$10.00,,
TX,southwest TX,$7.00,,
TX,texoma,$7.00,,
TX,tyler / east TX,$15.00,,
TX,victoria,$7.00,,
TX,waco,$10.00,,
TX,wichita falls,$7.00,,
UT,logan,$7.00,,
UT,ogden-clearfield,$7.00,,
UT,provo / orem,$7.00,,
UT,salt lake city,$10.00,,
UT,st george,$7.00,,
VA,blacksburg,$7.00,,
VA,charlottesville,$10.00,,
VA,danville,$7.00,,
VA,fredericksburg,$10.00,,
VA,harrisonburg,$7.00,,
VA,lynchburg,$7.00,,
VA,norfolk,$25.00,,
VA,richmond,$25.00,,
VA,roanoke,$10.00,,
VA,southwest VA,$7.00,,
VA,winchester,$10.00,,
VT,vermont,$15.00,,
WA,bellingham,$10.00,,
WA,kennewick-pasco-richland,$10.00,,
WA,moses lake,$7.00,,
WA,olympic peninsula,$7.00,,
WA,pullman / moscow,$7.00,,
WA,seattle-tacoma,$45.00,,
WA,skagit / island / SJI,$10.00,,
WA,spokane / coeur d'alene,$25.00,,
WA,wenatchee,$7.00,,
WA,yakima,$10.00,,
WI,appleton-oshkosh-FDL,$15.00,,
WI,eau claire,$10.00,,
WI,green bay,$15.00,,
WI,janesville,$10.00,,
WI,kenosha-racine,$10.00,,
WI,la crosse,$10.00,,
WI,madison,$25.00,,
WI,milwaukee,$25.00,,
WI,northern WI,$7.00,,
WI,sheboygan,$7.00,,
WI,wausau,$10.00,,
WV,charleston,$7.00,,
WV,eastern panhandle,$7.00,,
WV,huntington-ashland,$7.00,,
WV,morgantown,$7.00,,
WV,northern panhandle,$7.00,,
WV,parkersburg-marietta,$7.00,,
WV,southern WV,$7.00,,
WY,wyoming,$7.00,,
,,,,
,,,,
